trial_index,orientation_deg,contrast_pct,response,trial_role
235,0.0,12.5,6.0802,fit
236,90.0,12.5,8.3269,fit
237,45.0,50.0,11.1629,fit
238,0.0,50.0,8.7935,fit
239,135.0,25.0,6.3578,fit
240,45.0,12.5,7.6391,fit
241,90.0,25.0,11.5391,fit
242,0.0,25.0,8.3095,fit
243,135.0,25.0,5.1398,fit
244,45.0,50.0,9.5988,fit
245,0.0,25.0,8.7085,fit
246,135.0,100.0,13.318,fit
247,90.0,12.5,8.4322,fit
248,0.0,25.0,6.7928,fit
249,135.0,12.5,6.2769,fit
250,45.0,12.5,9.2586,fit
251,90.0,50.0,14.5995,fit
252,90.0,12.5,11.6785,fit
253,45.0,12.5,9.5644,fit
254,0.0,50.0,8.7402,fit
255,135.0,50.0,9.2757,fit
256,90.0,12.5,9.4005,fit
257,45.0,25.0,10.1672,fit
258,135.0,50.0,9.4461,fit
259,0.0,25.0,9.0694,fit
260,0.0,50.0,6.9246,fit
261,45.0,12.5,6.104,fit
262,135.0,50.0,12.1135,fit
263,90.0,12.5,10.9555,fit
264,45.0,25.0,8.624,fit
265,90.0,50.0,14.9709,fit
266,135.0,25.0,7.5122,fit
267,0.0,50.0,9.1174,fit
268,90.0,50.0,13.8293,fit
269,0.0,50.0,8.5868,fit
270,135.0,50.0,7.723,fit
271,45.0,25.0,8.373,fit
272,135.0,25.0,10.0523,fit
273,45.0,25.0,9.3735,fit
274,90.0,50.0,13.7705,fit
275,0.0,100.0,11.6027,fit
276,0.0,25.0,7.6902,fit
277,135.0,12.5,7.5215,fit
278,90.0,25.0,13.3509,fit
279,45.0,12.5,2.9553,fit
280,90.0,25.0,11.3915,fit
281,135.0,12.5,6.5721,fit
282,0.0,50.0,12.1829,fit
283,45.0,25.0,6.9852,fit
284,0.0,25.0,8.2723,fit
285,45.0,100.0,10.3452,fit
286,90.0,50.0,12.6524,fit
287,135.0,12.5,3.3619,fit
288,0.0,100.0,11.4046,fit
289,135.0,100.0,12.0709,fit
290,45.0,50.0,10.3221,fit
291,90.0,25.0,11.3943,fit
292,0.0,25.0,6.948,fit
293,90.0,12.5,7.7754,fit
294,45.0,12.5,7.7785,fit
295,135.0,25.0,5.27,fit
296,90.0,12.5,8.8552,fit
297,0.0,25.0,9.1689,fit
298,135.0,50.0,10.8295,fit
299,45.0,100.0,10.701,fit
300,45.0,50.0,10.1417,fit
301,90.0,25.0,10.1306,fit
302,0.0,100.0,12.1539,fit
303,135.0,50.0,10.2693,fit
304,135.0,25.0,6.0686,fit
305,90.0,25.0,10.9127,fit
306,45.0,12.5,5.64,fit
307,0.0,100.0,11.9332,fit
308,0.0,100.0,9.327,fit
309,90.0,50.0,14.583,fit
310,135.0,25.0,7.0127,fit
311,45.0,50.0,9.0941,fit
312,45.0,100.0,12.99,fit
313,135.0,100.0,10.7842,fit
314,0.0,50.0,8.6331,fit
315,90.0,25.0,9.9079,fit
316,45.0,50.0,8.9718,fit
317,90.0,50.0,12.0979,fit
318,135.0,12.5,2.4159,fit
319,0.0,25.0,6.4925,fit
320,0.0,100.0,11.512,fit
321,135.0,25.0,5.9978,fit
322,45.0,12.5,5.5817,fit
323,90.0,100.0,13.8423,fit
324,45.0,100.0,12.9273,fit
325,135.0,12.5,4.4084,fit
326,90.0,50.0,10.9258,fit
327,0.0,100.0,10.2276,fit
328,135.0,100.0,12.6583,fit
329,90.0,25.0,10.8525,fit
330,0.0,100.0,10.2991,fit
331,45.0,100.0,12.4513,fit
332,45.0,100.0,12.9494,fit
333,0.0,50.0,8.3868,fit
334,135.0,100.0,12.3085,fit
335,90.0,25.0,11.5945,fit
336,45.0,100.0,12.6734,fit
337,90.0,50.0,9.5411,fit
338,135.0,50.0,8.0073,fit
339,0.0,50.0,7.8096,fit
340,45.0,100.0,10.0198,fit
341,0.0,50.0,9.3942,fit
342,90.0,25.0,10.72,fit
343,135.0,25.0,5.7988,fit
344,45.0,100.0,11.1528,fit
345,0.0,50.0,9.7797,fit
346,90.0,50.0,12.1056,fit
347,135.0,100.0,9.7297,fit
348,90.0,100.0,14.9698,fit
349,0.0,25.0,8.2455,fit
350,45.0,50.0,10.0169,fit
351,135.0,50.0,8.8871,fit
352,45.0,100.0,8.3719,fit
353,90.0,100.0,15.515,fit
354,0.0,100.0,10.4111,fit
355,135.0,12.5,5.4125,fit
356,90.0,50.0,12.4633,fit
357,135.0,50.0,8.638,fit
358,45.0,50.0,7.2697,fit
359,0.0,50.0,7.4545,fit
360,135.0,50.0,8.3025,fit
361,90.0,100.0,11.7738,fit
362,45.0,25.0,11.0384,fit
363,0.0,50.0,9.0889,fit
364,135.0,100.0,11.9596,fit
365,45.0,25.0,8.6862,fit
366,0.0,100.0,10.7391,fit
367,90.0,25.0,6.6992,fit
368,135.0,12.5,5.9506,fit
369,0.0,50.0,7.011,fit
370,45.0,25.0,5.7009,fit
371,90.0,25.0,7.7734,fit
372,0.0,100.0,9.3986,fit
373,90.0,100.0,13.8368,fit
374,135.0,50.0,6.2796,fit
375,45.0,12.5,3.612,fit
376,135.0,25.0,4.6425,fit
377,45.0,50.0,9.7391,fit
378,90.0,50.0,11.9228,fit
379,0.0,50.0,8.7717,fit
380,135.0,12.5,0.875,fit
381,90.0,50.0,12.1848,fit
382,45.0,100.0,10.9582,fit
383,0.0,25.0,6.9649,fit
384,90.0,50.0,12.1774,fit
385,135.0,100.0,9.4934,fit
386,0.0,100.0,6.7168,fit
387,45.0,12.5,1.1514,fit
388,0.0,25.0,3.9275,fit
389,90.0,50.0,12.1766,fit
390,45.0,100.0,10.8815,fit
391,135.0,50.0,8.1388,fit
392,135.0,100.0,7.8585,fit
393,90.0,12.5,5.2165,fit
394,45.0,50.0,7.215,fit
395,0.0,100.0,12.5122,fit
396,90.0,50.0,10.4194,fit
397,0.0,25.0,5.901,fit
398,45.0,50.0,6.3995,fit
399,135.0,25.0,5.5122,fit
400,45.0,12.5,3.0759,fit
401,135.0,25.0,5.2525,fit
402,0.0,12.5,4.6632,fit
403,90.0,100.0,13.4469,fit
404,90.0,100.0,12.7726,fit
405,0.0,50.0,6.8531,fit
406,45.0,25.0,8.1345,fit
407,135.0,25.0,7.409,fit
408,135.0,100.0,7.6394,fit
409,90.0,50.0,10.1588,fit
410,0.0,25.0,5.1354,fit
411,45.0,100.0,12.3793,fit
412,135.0,25.0,6.9504,fit
413,0.0,25.0,3.3663,fit
414,45.0,50.0,9.014,fit
415,90.0,100.0,11.9708,fit
416,45.0,12.5,5.1072,fit
417,90.0,25.0,5.6834,fit
418,0.0,25.0,3.9743,fit
419,135.0,100.0,9.5351,fit
420,0.0,12.5,5.0214,fit
421,45.0,25.0,5.3869,fit
422,90.0,12.5,4.8208,fit
423,135.0,50.0,6.7053,fit
424,90.0,50.0,10.1295,fit
425,135.0,12.5,5.5524,fit
426,0.0,12.5,1.534,fit
427,45.0,50.0,6.2053,fit
428,0.0,12.5,3.5606,fit
429,135.0,12.5,6.9056,fit
430,90.0,25.0,7.1221,fit
431,45.0,12.5,4.9575,fit
432,45.0,100.0,10.6505,fit
433,135.0,25.0,6.4664,fit
434,90.0,50.0,9.3465,fit
435,0.0,25.0,5.4543,fit
436,45.0,100.0,7.1392,fit
437,90.0,12.5,8.8274,fit
438,135.0,12.5,2.6069,fit
439,0.0,100.0,6.7863,fit
440,90.0,100.0,10.5326,fit
441,135.0,25.0,5.7489,fit
442,45.0,12.5,6.557,fit
443,0.0,50.0,4.2492,fit
444,90.0,50.0,9.8227,fit
445,45.0,100.0,10.7711,fit
446,135.0,100.0,9.7411,fit
447,0.0,100.0,6.8548,fit
448,135.0,50.0,8.6669,fit
449,90.0,25.0,7.2302,fit
450,45.0,25.0,5.6187,fit
451,0.0,50.0,5.6303,fit
452,0.0,25.0,6.2567,fit
453,90.0,25.0,7.803,fit
454,45.0,12.5,5.0469,fit
455,135.0,100.0,9.7994,fit
456,90.0,50.0,11.0611,fit
457,45.0,100.0,11.0073,fit
458,0.0,100.0,7.7749,fit
459,135.0,50.0,4.4514,fit
460,45.0,100.0,6.799,fit
461,90.0,100.0,9.032,fit
462,135.0,100.0,10.3002,fit
463,0.0,50.0,4.1572,fit
464,135.0,100.0,8.3959,fit
465,45.0,100.0,7.1393,fit
466,90.0,100.0,10.5097,fit
467,0.0,25.0,1.9709,fit
468,135.0,100.0,7.4067,fit
469,45.0,100.0,7.795,fit
470,90.0,50.0,9.168,fit
471,0.0,100.0,8.7964,fit
472,0.0,12.5,3.2704,fit
473,135.0,50.0,3.9984,fit
474,90.0,50.0,8.5534,fit
475,45.0,100.0,10.4377,fit
476,90.0,100.0,11.176,fit
477,135.0,100.0,9.5131,fit
478,0.0,100.0,11.0925,fit
479,45.0,50.0,8.2809,fit
480,135.0,50.0,6.5913,fit
481,90.0,25.0,7.3356,fit
482,45.0,100.0,7.9687,fit
483,0.0,50.0,3.3913,fit
484,45.0,50.0,4.5752,fit
485,0.0,100.0,8.7284,fit
486,135.0,100.0,8.5081,fit
487,90.0,100.0,12.236,fit
488,135.0,50.0,7.6222,fit
489,0.0,50.0,5.3417,fit
490,90.0,25.0,6.0644,fit
491,45.0,100.0,8.783,fit
492,135.0,50.0,6.6948,fit
493,0.0,100.0,9.0263,fit
494,45.0,100.0,8.798,fit
495,90.0,50.0,11.5565,fit
496,0.0,100.0,9.1702,fit
497,90.0,50.0,9.7756,fit
498,45.0,12.5,3.7702,fit
499,135.0,25.0,6.3519,fit
500,0.0,100.0,9.1627,fit
501,90.0,100.0,11.0118,fit
502,45.0,100.0,8.6886,fit
503,135.0,100.0,8.7937,fit
504,0.0,50.0,7.0909,fit
505,45.0,50.0,4.9238,fit
506,90.0,100.0,10.7201,fit
507,135.0,100.0,7.4027,fit
508,90.0,12.5,5.5825,fit
509,45.0,12.5,2.2187,fit
510,0.0,50.0,5.1778,holdout
511,135.0,100.0,6.4203,holdout
512,135.0,50.0,9.1975,holdout
513,90.0,100.0,10.8036,holdout
514,45.0,100.0,10.0679,holdout
515,0.0,50.0,6.7739,holdout
516,45.0,100.0,11.0635,holdout
517,0.0,50.0,7.1217,holdout
518,90.0,25.0,7.3877,holdout
519,135.0,25.0,6.3865,holdout
520,0.0,50.0,7.3108,holdout
521,135.0,100.0,10.8042,holdout
522,90.0,100.0,10.3234,holdout
523,45.0,25.0,2.7807,holdout
524,45.0,50.0,5.6822,holdout
525,0.0,12.5,0.5891,holdout
526,90.0,100.0,10.5137,holdout
527,135.0,12.5,0.5723,holdout
528,90.0,25.0,9.5146,holdout
529,135.0,12.5,3.6885,holdout
530,0.0,100.0,8.5229,holdout
531,45.0,25.0,6.7057,holdout
532,45.0,50.0,9.0405,holdout
533,90.0,100.0,8.669,holdout
534,0.0,100.0,7.8509,holdout
535,135.0,50.0,5.6664,holdout
536,45.0,100.0,9.91,holdout
537,135.0,50.0,5.0868,holdout
538,0.0,100.0,7.646,holdout
539,90.0,100.0,11.4439,holdout
540,0.0,50.0,6.6027,holdout
541,90.0,100.0,13.072,holdout
542,135.0,100.0,7.8212,holdout
543,45.0,25.0,6.3628,holdout
544,45.0,100.0,8.1017,holdout
545,135.0,100.0,9.4936,holdout
546,90.0,50.0,11.3905,holdout
547,0.0,50.0,6.6108,holdout
548,90.0,50.0,9.2371,holdout
549,135.0,25.0,5.2401,holdout
550,0.0,50.0,6.5659,holdout
551,45.0,50.0,7.2935,holdout
552,90.0,25.0,6.8489,holdout
553,45.0,50.0,7.8407,holdout
554,0.0,100.0,4.6455,holdout
555,135.0,100.0,7.6173,holdout
556,45.0,50.0,8.4814,holdout
557,135.0,25.0,3.9255,holdout
558,0.0,50.0,6.0769,holdout
559,90.0,100.0,11.9075,holdout
560,135.0,25.0,4.8331,holdout
561,0.0,50.0,3.5402,holdout
562,90.0,25.0,9.3181,holdout
563,45.0,50.0,8.0195,holdout
564,90.0,25.0,7.6337,holdout
565,45.0,12.5,3.6535,holdout
566,135.0,100.0,8.1518,holdout
567,0.0,100.0,7.3622,holdout
568,90.0,12.5,6.8648,holdout
569,45.0,25.0,5.6902,holdout
570,135.0,100.0,5.3894,holdout
571,0.0,50.0,6.5228,holdout
572,90.0,50.0,11.2069,holdout
573,0.0,100.0,9.9525,holdout
574,45.0,100.0,9.1349,holdout
575,135.0,12.5,2.0587,holdout
576,0.0,12.5,4.8787,holdout
577,90.0,50.0,8.3042,holdout
578,45.0,25.0,6.2944,holdout
579,135.0,100.0,10.2292,holdout
580,45.0,50.0,8.1282,holdout
581,135.0,50.0,9.0056,holdout
582,0.0,100.0,9.561,holdout
583,90.0,25.0,7.9033,holdout
584,135.0,100.0,8.6085,holdout
585,90.0,100.0,10.6814,holdout
586,45.0,12.5,5.363,holdout
587,0.0,100.0,7.3268,holdout
588,45.0,100.0,10.423,holdout
589,0.0,100.0,8.016,holdout
590,135.0,25.0,6.4139,holdout
591,90.0,100.0,14.2474,holdout
592,90.0,100.0,12.0542,holdout
593,0.0,50.0,7.8471,holdout
594,135.0,50.0,6.9363,holdout
595,45.0,100.0,8.8779,holdout
596,45.0,100.0,8.9363,holdout
597,90.0,25.0,9.8198,holdout
598,0.0,25.0,4.5558,holdout
599,135.0,50.0,6.2414,holdout
