trial_index,ch00,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63
10,-0.53097,-0.37807,-1.09903,-1.1198,-1.91098,-0.15836,-0.87001,-0.14611,0.82995,-0.48851,0.23814,-0.5812,0.41906,0.2541,1.88504,1.29643,-0.40534,-0.38647,1.20154,-0.19566,0.24562,0.79367,-0.25837,-0.4003,0.94993,1.29528,0.96396,0.36859,-0.34176,-0.26501,-0.95936,-0.10064,0.83734,-0.42839,-1.14633,0.25799,-0.67434,-0.09841,-1.32309,-0.55194,0.44926,0.60934,-0.37306,0.6939,-1.29294,-0.32806,0.14064,2.07852,-0.59387,-0.52759,0.32395,-1.83894,-1.20034,0.69509,-0.46627,0.41072,-1.35354,-1.36636,-1.75507,0.6181,2.05169,-1.07878,1.006,0.55641
11,-0.73993,-1.63569,-0.50683,0.45715,-2.07269,0.01599,-0.38893,-0.85496,-1.06881,-1.4319,0.64444,-0.43407,1.93938,1.48816,-1.00934,1.21291,0.52352,-0.12369,0.61668,1.19803,-0.05523,0.30144,1.05945,-0.74425,0.07515,0.01907,2.86946,-0.31826,-1.04916,-0.74808,0.21066,-0.41561,0.21039,-0.90731,-0.55318,-1.08927,-1.91637,0.9468,-1.93815,-0.46495,0.81383,-0.09807,0.35869,1.66101,-1.0263,0.57126,-0.35167,0.01066,-1.62587,-0.1016,-0.21635,-1.65529,-1.45496,-0.80778,0.77659,-0.10115,-1.47034,-0.45662,-1.39454,2.84367,0.86499,-0.71048,1.18762,-0.27006
12,-0.34165,-0.80163,1.16613,0.30781,-2.01386,-1.29005,-0.1211,-0.31563,-0.90234,-0.58713,0.75634,-1.27189,0.94036,2.3526,-0.35809,1.56831,-0.7814,1.09616,-0.7708,1.55817,-0.39185,0.84604,-0.60978,-1.25728,-1.35665,-1.62904,1.49027,0.00908,-0.45242,-0.806,0.60669,0.3495,0.44566,0.12936,0.2839,-0.14866,-0.81506,0.96072,-2.37277,-0.43178,-0.54789,-1.28558,0.15394,0.91296,-1.04782,0.53896,-0.24525,-0.37965,-1.54374,-0.55888,-0.36553,-1.21643,-1.97563,0.63729,1.18739,-0.50805,-2.12953,0.61557,-0.74647,2.04926,0.7027,0.02598,-0.11369,-0.99527
13,1.11961,0.812,0.69782,-0.80145,-1.65908,-0.81969,-2.14427,0.28002,-1.2624,-0.49685,0.40817,-0.75958,0.92094,1.84019,0.76926,2.38209,0.48732,0.46597,-1.6975,0.40527,-1.22748,1.35395,0.75444,0.22916,-1.20921,-1.72932,0.46462,-0.72139,-0.32314,-0.88253,1.98422,1.49565,0.8794,0.96945,-0.60062,-0.22693,-0.83794,2.12285,-1.60753,0.26149,-0.58897,-0.95997,1.22058,0.59651,-0.87288,0.2153,0.6353,0.01367,-1.00774,-0.95951,0.39308,-0.04694,-2.01045,0.68081,-0.47877,0.40608,-2.02615,-0.39145,-0.58377,2.24307,-0.72581,-0.17615,-0.49383,-1.70049
14,0.43957,1.39829,0.65028,-0.32366,-0.34286,0.65505,-2.38191,0.02241,-1.03924,-0.7304,0.33473,-0.17032,-0.50443,0.43973,1.14049,0.46647,0.64262,2.06377,0.18518,0.83974,-2.058,1.59732,0.09801,-0.83731,-0.29242,-0.19331,-0.01152,-0.65393,-0.9229,-1.46717,-0.05547,1.95596,-0.2278,0.14515,-0.06846,-0.89486,-0.48879,2.7214,-1.65483,0.48931,1.57106,-0.99834,2.65492,1.2937,-0.26819,0.53309,-0.50588,0.47426,0.57661,-1.51535,-0.20187,1.36926,0.10676,1.46821,-0.34025,-0.36001,-0.17867,-1.13732,0.78603,3.53082,-0.28298,-0.25145,-0.42394,-0.94671
15,-0.43215,0.77051,-0.50049,-0.68437,-0.40421,1.05884,-0.89092,-0.89979,-2.29796,0.93737,0.14658,-0.89924,0.44754,0.87479,0.37064,-0.11383,-0.06508,1.39143,0.31993,1.71205,-0.61462,2.31349,-0.32414,-0.96919,0.93787,-0.81739,0.0351,0.33269,-0.85248,-0.18377,0.30488,1.4418,-0.28183,-0.46038,-0.38115,0.09296,-0.78108,0.75476,-0.66907,0.15291,-0.08293,-0.50463,1.98374,1.03565,-0.95281,-0.69435,-0.01465,0.11286,0.75334,-1.4422,0.97215,2.15602,-0.53202,0.85634,-1.26253,-0.59855,0.55007,-1.07315,0.02402,2.68076,1.59778,0.5204,-0.2165,0.48398
16,-0.99232,0.54372,-0.87002,0.69416,0.95319,0.84595,0.09738,-1.43797,-2.18032,0.85454,-1.28859,-1.08669,0.72654,0.35796,0.23291,-0.1199,-1.03058,2.21664,-0.9978,0.63177,-0.45288,0.48981,-0.23136,-0.43961,0.3077,-0.36415,0.57926,0.70521,-0.20119,-1.15508,0.50494,0.02679,-1.04741,0.0267,-0.00519,-0.18224,0.51426,0.78056,0.48033,0.00088,-1.17389,-0.60133,1.14212,-0.10693,0.02225,0.25576,0.27632,0.2655,0.66151,0.57154,-0.11875,-0.13531,0.00687,0.99087,0.43501,-0.12865,-0.04367,-0.8928,-1.09052,1.86599,0.56288,0.24663,0.52856,-0.59054
17,-0.722,0.69077,-1.11027,0.28689,0.11018,1.70605,-0.19792,-2.51222,-1.22941,0.83561,0.9817,-1.01794,0.59661,0.0202,-0.44987,1.4091,-0.70595,0.62694,0.22412,-0.32848,-1.94301,0.33749,-0.40759,-1.52046,-0.97606,-1.1742,-0.12619,-0.03968,-0.92861,-1.11525,-0.25714,-1.80029,-0.70892,1.29005,1.29583,0.54782,0.69693,0.34222,0.10242,-0.63498,-1.95664,1.30821,0.28638,0.25654,0.1155,-0.51304,2.05788,0.45273,-0.56662,0.69016,0.82538,0.51637,-0.49439,1.22929,0.88435,1.26908,0.82411,-0.55549,-0.77761,2.65852,1.45663,0.58284,0.11605,-0.41076
18,-1.42673,0.27056,-0.50793,-0.11162,1.04508,1.27295,-0.79833,-2.29149,-1.21835,0.40258,0.72538,-0.69741,0.82478,1.02438,-0.44845,1.22249,0.15538,0.05817,0.2578,-0.1218,-0.67496,0.3096,-0.42898,-2.02325,-0.29271,-1.31085,-0.13148,-0.37937,-1.93214,-0.49375,-0.49,-2.42937,-0.04438,-0.66923,0.44528,-0.9704,0.66701,0.48499,-0.18525,-0.80801,-0.63231,-0.1333,0.38233,0.6856,0.01233,-0.88244,1.78722,0.27667,-0.5738,-0.11943,0.36738,1.57452,0.02209,0.36435,1.73817,0.64483,0.63138,-1.80605,-0.35653,1.43863,0.79556,0.36569,-0.30869,0.27582
19,-0.9061,-0.13166,0.25017,0.87666,-0.58406,0.67715,-0.57498,-1.11464,-1.65589,-0.26701,-0.35551,-0.4875,0.29238,0.07119,0.15904,1.22945,0.75364,0.4398,0.24046,-0.48668,-0.21889,-0.81007,-0.64396,-1.8105,-0.16733,-1.02243,-1.16625,0.78487,-0.88513,-0.28281,-1.5309,-0.87322,0.93426,-0.14176,0.9573,-0.49059,0.0924,-0.05185,-0.13105,-1.41617,0.00053,0.23987,0.22333,0.66255,-0.10341,-0.6167,1.3025,0.9511,-0.73009,0.61422,0.03976,0.22182,-0.22337,-0.27075,1.02116,2.50599,0.75285,-0.99307,0.8998,0.82167,1.37594,1.41776,-1.47024,0.21966
20,-1.49861,-0.21388,1.69963,-0.59096,-0.3048,0.26551,-0.61053,-0.67274,-0.15178,-2.17575,0.76311,-0.27299,0.33234,1.57195,-0.37868,0.71776,0.69193,0.27539,-0.38014,-0.99399,0.09137,-0.30383,0.57518,-0.40576,0.75465,-1.25672,0.36719,0.13327,-0.6457,0.0232,0.02488,-0.63704,-0.10123,0.27868,1.9114,-0.85731,0.51553,-0.5566,-0.49745,-1.95955,1.48881,0.30523,1.1622,0.90014,0.7614,0.05956,1.18625,-1.15332,-1.22795,0.60618,-0.32005,1.16054,0.35058,0.41342,0.2115,1.99289,-1.23846,-0.93241,-0.48798,-1.7687,0.20409,-0.1322,-0.75696,-0.66411
21,-1.55759,-0.09562,1.49867,0.45502,0.12461,2.49874,0.21114,-0.13947,0.46741,-1.81294,1.15312,-0.0883,0.90244,0.40349,-0.77356,2.28213,1.92174,-0.53419,0.67608,0.22752,-0.87459,-0.13165,-1.48532,0.72982,-0.08896,-0.67995,0.83217,-1.04467,-0.06671,0.45001,0.01671,-0.3333,0.37888,-1.36327,1.2973,0.58086,3.12461,-1.02956,-0.72035,-0.86042,1.35689,0.57975,1.38579,-0.40299,0.26041,-0.6422,0.69197,-0.97157,-0.37312,-0.12384,-1.40059,0.87322,-1.34136,0.47491,0.7547,0.75141,-0.97138,-0.77645,0.29097,-0.46166,-0.33605,-0.61523,-1.07466,0.48825
22,0.01881,-0.46572,-0.34197,-0.28373,-1.38648,1.11825,-1.04121,1.12379,-0.30728,-0.43084,0.38494,-0.43676,0.38375,0.96276,-0.55965,1.93045,2.21681,0.24486,0.16812,1.0861,-0.51151,0.61172,0.30336,0.16332,0.4018,-0.5062,1.14322,0.68139,0.13123,0.59492,-0.78119,0.86663,-0.45942,0.06951,1.44485,0.97377,1.16651,-2.06063,-3.19427,-1.661,0.80214,-0.25356,1.09598,1.03371,-1.05363,-1.05274,0.54665,-0.82376,0.49783,-1.19927,-1.79426,0.42082,-0.68084,1.45267,0.21743,0.83803,-0.82356,-2.64901,-0.217,-0.81709,-0.3741,-0.73846,-1.12065,0.20292
23,0.90208,2.39676,0.04256,0.58683,-1.04014,0.24779,-1.17232,1.3933,0.02691,-0.18845,0.46464,0.248,0.24085,-0.71529,-0.35233,0.26295,1.92513,0.41241,-0.66559,-0.33382,-1.14225,1.07554,-0.78581,-0.90499,0.32244,-2.27642,1.08915,1.41843,-1.20714,1.06929,-2.14636,3.17832,-1.07999,-0.05076,-0.45479,1.42057,-0.46995,-1.68884,-0.58571,0.22422,-0.21069,-1.58336,-0.07511,-0.02007,-1.46122,-0.35712,-0.66943,0.9597,-0.04675,-0.25863,-1.09559,1.24554,-0.26458,0.92053,-0.72498,1.49903,-0.12208,-2.20289,-0.72987,-1.3344,1.09168,-1.82988,-0.86302,-0.64955
24,0.42315,2.08438,-0.69168,0.18814,-0.59013,-0.17409,-1.15544,0.20185,-1.09802,0.31963,1.17239,-0.41897,0.03925,0.39582,-2.51349,-0.71748,1.25169,0.29926,-0.03185,0.51832,0.39408,0.43834,-0.23681,-0.25348,-1.08294,-2.5394,2.42576,0.50162,-0.97369,0.86188,-2.04024,1.62184,-0.66496,0.09288,-1.11523,0.18018,-1.06903,-1.24768,-0.73506,-0.24288,-1.01541,-1.02634,0.01442,0.14335,-1.64004,1.52998,-0.68676,0.13612,0.91462,-0.08964,0.17426,1.33281,-0.41153,-0.17505,0.33673,0.91351,-0.83709,-0.75768,-0.17902,-0.84456,-0.24619,-1.17423,-0.53645,0.03062
25,0.52943,0.08664,-1.01411,0.45207,0.59081,-0.33839,-1.5598,0.4451,-0.68066,1.1196,-0.91688,-1.42814,-0.86075,0.03387,-2.05411,-0.37452,0.18097,0.80301,1.41302,-0.90181,-0.8961,-0.12296,-0.68464,-0.52047,-1.40207,-1.55233,0.95241,-0.99974,-0.57081,-0.06489,-2.61232,1.03353,-0.43963,-0.92634,-1.00059,0.70084,-0.08806,-0.99302,-1.08229,-1.50732,-0.25782,-1.23287,-0.08502,1.82423,-0.45699,0.88486,-0.42511,1.41947,-0.5194,-0.06278,-0.05506,0.84941,-0.97149,0.73483,-0.10802,1.39837,0.31405,0.80398,1.67771,-0.70844,-0.13433,-1.48352,-0.1538,0.85121
26,-1.41758,-0.20102,-0.90452,-0.57575,1.409,0.40753,0.07449,-0.06359,-1.70577,1.07193,-0.6131,-1.19722,-1.41526,-0.44412,-1.57918,0.16899,0.65468,0.65774,2.70698,-0.0484,-2.0988,-0.444,-0.90201,-0.89185,-1.25496,-1.32365,0.30748,-0.90404,-1.17638,0.22903,-2.68232,1.76573,-1.13805,0.0939,-0.91151,0.16216,-0.0549,-0.3157,-1.24563,-0.31618,-0.63503,-1.0446,0.1815,2.36018,-0.69176,2.11051,-0.0413,1.06215,0.09557,0.64077,-0.15543,1.13891,-1.50573,0.97842,-0.57096,-0.09842,0.6967,-0.15521,2.40474,1.06731,-1.22201,-1.47558,-0.01634,-0.51691
27,-0.56122,1.17708,-1.32562,-1.23426,2.3869,-0.47184,-0.24337,0.25776,-0.02227,-0.17158,-0.33331,-1.1149,-0.03482,-1.14161,-2.2648,-1.66696,-0.49739,-0.19639,1.77207,1.28357,-0.00526,0.06869,-0.49194,-0.85419,-1.10008,-1.27491,1.07916,-0.92463,-1.62325,0.49825,-3.0743,-0.11074,1.14351,1.30246,-0.52004,-1.03405,-1.02854,0.01648,-1.03215,0.37867,0.7276,-1.06234,0.21033,1.58591,-1.07036,1.254,1.03905,0.47846,-0.0125,-0.05344,-0.70255,1.1894,-0.906,-0.5942,-0.04717,0.66724,0.36614,-0.41785,1.05587,0.44155,-0.61769,-0.76872,0.41036,0.52394
28,-0.2346,1.0003,-0.67627,-1.97282,0.93772,0.80034,-0.90558,-0.69396,0.74847,0.19605,-0.38728,-0.12381,-0.21324,-2.05267,-0.76749,0.54806,-0.0759,-1.75926,1.4585,0.80185,0.43514,0.30966,0.97535,0.15011,-0.44121,-1.89137,0.3659,-0.28786,-1.64895,0.06419,-0.42528,-0.34494,-0.2992,-1.48259,-0.11607,-1.0703,-0.78146,-1.27227,-0.52082,0.1176,0.33352,-1.1152,-0.40814,1.26497,-1.42123,0.66204,0.34543,-0.05494,0.84996,-1.39545,-0.33828,0.67373,-2.64445,-1.93318,2.33016,0.14521,1.04986,0.35623,-0.09649,-0.63648,-0.42571,-1.18437,1.24287,0.37704
29,1.00013,0.0601,-1.20768,-1.01146,-0.68806,0.3077,-2.94115,-0.15136,1.15706,-0.6059,0.91623,0.18256,0.42646,-1.04869,0.05538,-0.26133,-1.29778,-1.71884,0.81003,2.07357,0.46837,-0.75548,-0.30213,0.34794,0.43021,0.06544,0.18623,-1.19912,-0.30859,0.13919,1.0229,-1.36283,-0.17399,-1.98151,-2.07164,-0.90279,-0.06596,-1.04447,-1.29987,1.21386,-0.55734,-0.20494,0.70157,-0.41293,1.01775,1.69015,-0.89991,1.71191,1.25341,-1.79469,-1.65902,0.73732,-1.01493,-0.38557,2.67995,-0.83527,0.74643,0.55443,1.10104,-0.97092,-0.34954,-1.21236,2.24686,0.16294
30,0.89244,-1.03321,-1.54181,0.5713,-0.78569,0.70971,-2.27879,-0.45256,-0.13652,-3.08984,0.13364,-0.31758,2.33037,-1.19428,1.68325,0.76245,-0.37146,-0.53341,1.25336,0.37984,-0.0531,-1.29157,0.65971,1.70811,0.65192,1.28718,0.39664,-0.93119,-0.46083,-0.5631,1.38156,-0.27297,-0.89129,-0.44054,-2.04643,0.68764,0.42549,-2.50157,-0.76569,1.30939,-0.6984,-1.2021,-1.08781,-0.57792,0.99174,1.17231,0.6466,1.42956,0.82784,-0.84502,-1.11125,0.74138,0.20842,0.10368,0.96829,-0.07514,-0.05298,0.46193,-0.90094,0.12194,1.31933,-1.13221,0.10077,0.50958
31,0.47719,0.43005,-1.26539,-0.24882,-0.0273,0.14369,-1.54026,0.13254,-0.77876,-2.12816,-1.02318,-0.98802,1.86246,-0.73206,2.71197,1.84992,-0.31156,-0.07211,0.78119,1.81442,-0.63638,-0.38363,-0.36416,0.75684,0.2107,0.71024,-0.1161,-0.75485,0.45654,-0.3835,0.65788,-0.95149,-1.484,0.69886,-0.61656,-0.22293,0.99259,-0.9535,-0.13657,0.91211,-0.02885,-1.31124,-1.0596,0.16304,0.89365,0.51233,-0.17759,2.01823,0.52964,-0.06781,-0.48413,0.4747,0.22625,0.51416,0.95276,-0.26302,0.62302,0.17395,-2.05589,-0.21252,1.50227,-0.24219,0.45795,0.74163
32,0.51971,1.18379,-1.95658,-0.09725,0.73112,-0.79023,-0.60662,-0.48823,-1.27655,1.2627,-1.42586,-1.99213,1.23201,-0.39474,0.54329,2.36142,-0.13438,0.6435,1.38092,1.27118,0.57052,-1.01745,-0.64288,0.75112,0.108,-0.2612,-1.62066,-0.49935,-0.11695,0.19414,-0.05483,-0.92731,-0.78275,-0.46778,0.62896,-1.35233,-0.36701,0.31569,0.26781,0.09227,-0.10862,-0.75719,-0.80636,-0.30656,1.38855,0.41985,-0.11125,1.92438,1.94487,0.67866,-0.28318,-0.61939,0.50583,0.2617,1.19641,-0.75264,0.19234,-0.75368,-1.96514,0.78332,1.68562,0.45974,0.19552,-0.40255
33,1.13307,-0.25172,-1.11926,-1.42927,-0.42918,-0.87331,-0.46156,-0.56035,0.01304,-0.1864,1.29429,-0.2018,0.89894,-1.04351,-0.89635,1.06244,0.87252,-0.14225,0.93766,-1.13802,-0.04876,-0.82619,0.41635,1.40999,-0.83024,-0.34558,0.11292,-0.21107,0.73173,-0.13272,0.76942,-0.93369,1.22077,0.50954,0.05158,-1.14159,-0.17697,-0.64101,-1.20684,-1.44427,0.52903,0.13882,-1.14773,1.54161,1.68204,0.30797,0.44124,0.51428,0.83399,-0.70168,0.46046,-0.80529,1.01027,-0.39662,1.60976,0.59889,0.45062,0.24223,-0.94853,0.58251,2.50829,-0.18051,-0.11519,0.77025
34,-0.13594,0.18396,-0.29944,-1.70092,0.44232,-0.83629,0.77922,0.18389,0.02358,0.49602,0.62978,0.84153,-0.31412,-1.70084,-0.83032,-0.19383,0.61899,-0.84492,1.51857,-0.81753,-0.25561,0.81891,-0.43759,0.60743,-0.6074,0.26916,0.42872,-0.84661,0.68471,0.98758,-0.06348,1.41187,0.29412,-0.04955,-0.46312,-1.18723,0.31178,-1.421,0.27608,-1.34301,-0.12444,0.43807,-1.18705,1.54661,1.06271,1.10212,-0.53424,1.9706,0.10388,1.39691,0.66858,-0.05763,-1.48216,-1.05305,0.19486,0.28453,0.03651,-1.18832,-0.60282,1.14908,1.45721,0.14389,-1.34399,1.05219
35,1.17751,0.96303,-0.17948,-0.12886,1.37282,-0.78831,0.07701,-0.24179,-0.17151,0.12828,-1.36638,0.88553,-1.21711,-0.22386,-1.64041,0.94035,-0.69804,-0.71752,0.14952,-0.38001,1.16863,-0.72052,-1.4425,0.19709,-0.95529,-0.29082,0.86048,-1.05109,-0.31967,0.49356,-0.41928,1.95913,0.14855,0.60079,0.12964,-1.83377,0.21632,-0.33908,1.38447,-1.91753,0.01487,0.0398,-0.86486,0.52098,1.9485,0.31111,0.01888,2.2093,-0.52753,0.77322,-0.05031,0.26457,-1.47105,0.50453,-0.20298,-0.85868,0.1043,-1.69981,0.56363,0.24487,1.66129,-1.6945,-0.34009,3.01111
36,-0.05827,1.48141,-0.64244,0.1512,0.44568,1.03601,1.11777,-0.48474,-0.63957,-0.38653,-0.35629,1.65346,-0.79168,1.25312,0.07458,1.35872,0.07445,-1.39882,-0.14088,-1.09756,-0.17472,0.01914,-1.67325,-0.40314,0.1299,0.03644,0.46976,-0.23184,0.792,0.56332,-0.30976,1.7035,1.25344,0.56368,0.19119,-0.04123,-0.06123,-0.14899,1.3212,-1.58122,0.53075,-0.05326,-1.95592,0.23848,0.96798,-0.31818,-0.90339,2.07684,-1.87893,-0.78404,1.19408,0.78891,-0.66562,-0.7073,-0.08715,-0.55988,0.2632,-0.51377,0.64138,1.96373,1.98809,-2.8746,-1.30959,2.22303
37,0.31684,1.41397,-0.90112,1.07912,1.18008,-1.95093,0.2283,-0.76212,-0.07652,-0.04016,-0.82722,1.07875,-1.56951,-0.37659,-0.20104,1.6804,-1.96224,-0.80589,-0.19184,-1.1664,1.43738,2.20988,-2.15365,-1.10066,0.53378,1.17601,2.13846,-0.10232,0.39569,-0.52198,-1.1094,0.88801,1.40357,0.75423,0.01673,-0.47748,0.28516,-0.40574,0.38876,-1.19243,-0.85028,0.32063,-2.73733,-0.73406,1.83104,-0.86128,-0.37431,1.79919,-2.63114,-0.1364,0.61504,0.89598,-0.42117,-1.07998,-1.76616,-0.39983,-0.60676,-1.72282,1.0172,1.80935,1.53001,-1.1102,0.08631,1.52111
